booth_no,total_votes_2016,DMK_2016,AIADMK_2016,PMK_2016,DMK_2021,candidate_2_NAJUHAB JAMAS YTRAP,candidate_3_LAKKAM IHDEEN MAIAM,candidate_4_RALIMAT IHCTAK MAAN,AIADMK_2021,candidate_6_ARTTENUM MAGAZAK LAK,candidate_7_OITARENEG SELPOEP WE,candidate_8_EDNEPEDNI TN,candidate_9_EDNEPEDNI TN,candidate_10_EDNEPEDNI TN,candidate_11_EDNEPEDNI TN,candidate_12_EDNEPEDNI TN,candidate_13_EDNEPEDNI TN,candidate_14_EDNEPEDNI TN,candidate_15_EDNEPEDNI TN,candidate_16_EDNEPEDNI TN,total_votes_2021,AIADMK_share_2016,AIADMK_share_2021,AIADMK_swing,DMK_share_2016,DMK_share_2021,DMK_swing,turnout_change
156,833,370,279,57,273,1,58,32,299,7,1,2,0,1,0,1,0,0,1,11,687,33.49,43.52,10.03,44.42,39.74,-4.68,-17.53
157,913,422,353,64,271,0,53,24,170,2,0,4,0,0,0,0,0,0,0,4,528,38.66,32.2,-6.46,46.22,51.33,5.11,-42.17
158,518,227,210,22,206,3,103,32,196,10,0,3,1,2,0,0,0,0,1,8,565,40.54,34.69,-5.85,43.82,36.46,-7.36,9.07
159,465,231,169,22,159,0,78,12,186,0,1,2,0,0,0,0,0,0,0,6,444,36.34,41.89,5.55,49.68,35.81,-13.87,-4.52
160,988,412,412,72,156,3,50,23,158,2,1,10,0,1,1,0,0,0,0,5,410,41.7,38.54,-3.16,41.7,38.05,-3.65,-58.5
161,955,568,244,22,312,2,141,37,323,9,0,3,0,1,0,1,0,0,0,6,835,25.55,38.68,13.13,59.48,37.37,-22.11,-12.57
162,755,298,355,57,380,1,137,32,331,3,1,4,0,1,0,1,0,0,1,8,900,47.02,36.78,-10.24,39.47,42.22,2.75,19.21
163,902,386,384,65,241,1,45,26,165,3,0,4,0,0,0,0,0,0,0,6,491,42.57,33.6,-8.97,42.79,49.08,6.29,-45.57
164,486,245,196,11,232,3,42,34,121,1,1,11,0,0,0,0,0,0,0,2,447,40.33,27.07,-13.26,50.41,51.9,1.49,-8.02
165,860,445,335,17,252,1,73,36,216,3,0,1,0,0,0,0,1,0,1,6,590,38.95,36.61,-2.34,51.74,42.71,-9.03,-31.4
166,599,311,223,19,319,2,91,61,326,13,1,5,2,0,0,1,0,0,0,10,831,37.23,39.23,2.0,51.92,38.39,-13.53,38.73
167,1029,530,324,68,150,1,24,13,52,1,0,3,0,0,0,0,0,0,0,1,245,31.49,21.22,-10.27,51.51,61.22,9.71,-76.19
168,594,176,331,35,412,2,5,45,111,6,0,103,1,0,0,0,0,2,0,7,694,55.72,15.99,-39.73,29.63,59.37,29.74,16.84
169,633,193,355,41,349,2,35,52,307,1,1,2,0,0,1,0,0,0,1,7,758,56.08,40.5,-15.58,30.49,46.04,15.55,19.75
170,316,137,120,23,543,7,48,59,244,0,0,2,0,0,0,1,1,2,0,8,915,37.97,26.67,-11.3,43.35,59.34,15.99,189.56
171,660,294,274,41,264,0,26,30,169,7,1,0,0,0,0,0,1,1,0,4,503,41.52,33.6,-7.92,44.55,52.49,7.94,-23.79
172,436,236,122,21,394,24,27,14,105,2,0,2,0,0,0,0,0,0,2,2,572,27.98,18.36,-9.62,54.13,68.88,14.75,31.19
173,415,199,139,17,351,1,33,27,134,7,2,1,0,0,0,1,0,0,0,1,558,33.49,24.01,-9.48,47.95,62.9,14.95,34.46
174,952,427,387,33,242,1,56,33,158,4,0,6,2,3,1,0,1,0,2,6,515,40.65,30.68,-9.97,44.85,46.99,2.14,-45.9
175,736,384,229,33,270,1,67,30,120,1,0,5,0,0,0,0,0,1,0,9,504,31.11,23.81,-7.3,52.17,53.57,1.4,-31.52
176,611,332,175,34,214,1,29,33,350,4,0,0,0,0,1,3,0,1,0,5,641,28.64,54.6,25.96,54.34,33.39,-20.95,4.91
177,542,234,204,25,231,5,18,56,312,4,2,0,1,0,0,5,0,0,0,5,639,37.64,48.83,11.19,43.17,36.15,-7.02,17.9
178,846,357,286,35,131,1,37,27,129,1,0,1,0,1,0,1,0,0,0,8,337,33.81,38.28,4.47,42.2,38.87,-3.33,-60.17
179,745,332,324,13,319,2,40,45,264,3,0,1,0,0,0,1,0,0,0,12,687,43.49,38.43,-5.06,44.56,46.43,1.87,-7.79
180,585,215,247,63,224,0,51,34,105,1,1,2,1,1,0,1,0,0,0,10,431,42.22,24.36,-17.86,36.75,51.97,15.22,-26.32
181,580,249,248,24,204,0,46,28,137,8,0,2,1,0,0,1,0,0,0,8,435,42.76,31.49,-11.27,42.93,46.9,3.97,-25.0
182,644,258,254,53,441,1,105,64,374,11,1,1,0,1,0,1,1,1,1,11,1014,39.44,36.88,-2.56,40.06,43.49,3.43,57.45
183,480,216,179,21,432,3,52,52,191,9,4,1,0,0,2,1,0,0,0,15,762,37.29,25.07,-12.22,45.0,56.69,11.69,58.75
184,926,337,444,24,309,4,44,44,138,3,1,5,0,1,1,0,1,1,0,12,564,47.95,24.47,-23.48,36.39,54.79,18.4,-39.09
185,842,332,332,29,314,3,136,47,263,9,4,1,0,1,0,0,0,0,1,14,793,39.43,33.17,-6.26,39.43,39.6,0.17,-5.82
186,440,175,181,15,223,3,107,26,148,6,1,3,0,0,0,0,0,0,2,12,531,41.14,27.87,-13.27,39.77,42.0,2.23,20.68
187,708,280,301,26,357,1,58,30,207,6,0,2,0,0,1,2,1,1,0,3,669,42.51,30.94,-11.57,39.55,53.36,13.81,-5.51
188,636,225,336,13,214,2,60,36,214,3,1,2,1,0,0,1,0,1,0,9,544,52.83,39.34,-13.49,35.38,39.34,3.96,-14.47
189,852,252,439,60,229,2,60,21,186,4,0,2,0,0,0,1,0,0,1,11,517,51.53,35.98,-15.55,29.58,44.29,14.71,-39.32
190,671,261,331,22,329,1,65,51,183,15,2,0,0,1,0,1,0,1,1,13,663,49.33,27.6,-21.73,38.9,49.62,10.72,-1.19
191,773,260,393,44,225,2,38,24,115,2,1,4,0,0,0,0,0,0,0,5,416,50.84,27.64,-23.2,33.64,54.09,20.45,-46.18
192,688,305,256,26,367,1,133,61,306,5,1,2,0,0,0,0,1,1,2,8,888,37.21,34.46,-2.75,44.33,41.33,-3.0,29.07
193,696,277,287,26,410,0,73,68,279,8,1,1,0,0,1,0,0,0,0,13,854,41.24,32.67,-8.57,39.8,48.01,8.21,22.7
194,578,200,251,20,202,0,41,29,107,4,0,3,0,0,0,1,1,0,2,3,393,43.43,27.23,-16.2,34.6,51.4,16.8,-32.01
195,884,389,385,31,297,1,65,27,244,3,0,1,0,0,0,0,0,0,0,6,644,43.55,37.89,-5.66,44.0,46.12,2.12,-27.15
196,893,351,358,59,264,2,68,38,206,16,0,2,0,0,0,0,1,0,1,12,610,40.09,33.77,-6.32,39.31,43.28,3.97,-31.69
197,667,305,257,29,523,4,83,46,264,7,0,0,1,0,1,0,1,0,1,10,941,38.53,28.06,-10.47,45.73,55.58,9.85,41.08
198,754,246,328,63,292,0,35,69,218,28,0,4,0,0,2,0,2,0,1,12,663,43.5,32.88,-10.62,32.63,44.04,11.41,-12.07
199,515,181,254,18,355,2,53,94,275,22,1,0,0,0,2,1,2,1,0,6,814,49.32,33.78,-15.54,35.15,43.61,8.46,58.06
200,772,265,368,55,312,4,79,57,173,4,0,2,1,0,1,0,1,2,0,10,646,47.67,26.78,-20.89,34.33,48.3,13.97,-16.32
201,531,215,223,44,285,0,67,34,223,14,2,1,1,0,0,0,0,0,1,16,644,42.0,34.63,-7.37,40.49,44.25,3.76,21.28
202,901,346,372,64,198,2,78,22,201,11,1,0,2,1,0,1,0,0,0,10,527,41.29,38.14,-3.15,38.4,37.57,-0.83,-41.51
203,774,269,347,88,424,6,34,83,282,16,1,19,0,1,0,3,0,0,0,9,878,44.83,32.12,-12.71,34.75,48.29,13.54,13.44
204,680,323,239,19,345,1,79,52,308,14,1,6,1,1,0,1,2,0,1,16,828,35.15,37.2,2.05,47.5,41.67,-5.83,21.76
205,412,142,168,49,299,1,59,28,214,12,0,4,0,2,1,0,0,0,0,14,634,40.78,33.75,-7.03,34.47,47.16,12.69,53.88
206,693,248,255,125,255,2,56,68,295,10,2,0,0,0,0,0,0,0,2,14,704,36.8,41.9,5.1,35.79,36.22,0.43,1.59
207,851,270,384,42,217,2,65,40,179,3,1,1,0,1,2,0,0,1,2,12,526,45.12,34.03,-11.09,31.73,41.25,9.52,-38.19
208,727,307,308,37,341,3,53,62,322,13,0,2,3,1,0,2,0,1,0,8,811,42.37,39.7,-2.67,42.23,42.05,-0.18,11.55
209,385,105,195,21,227,5,34,29,226,3,0,0,0,0,0,1,0,0,0,4,529,50.65,42.72,-7.93,27.27,42.91,15.64,37.4
210,829,299,352,47,361,1,107,65,341,17,2,1,1,1,0,1,0,0,0,5,903,42.46,37.76,-4.7,36.07,39.98,3.91,8.93
211,769,423,248,20,300,2,34,68,331,7,2,1,1,2,0,1,1,2,2,16,770,32.25,42.99,10.74,55.01,38.96,-16.05,0.13
212,878,412,328,51,348,3,53,48,229,4,0,2,0,1,0,3,0,2,1,14,708,37.36,32.34,-5.02,46.92,49.15,2.23,-19.36
213,488,238,163,21,175,1,39,23,184,10,1,0,0,0,0,1,0,0,0,4,438,33.4,42.01,8.61,48.77,39.95,-8.82,-10.25
214,766,297,302,115,280,1,36,45,301,5,1,1,0,0,0,3,1,0,1,14,689,39.43,43.69,4.26,38.77,40.64,1.87,-10.05
215,512,200,207,45,293,3,108,68,341,3,2,1,1,2,0,1,0,0,0,16,839,40.43,40.64,0.21,39.06,34.92,-4.14,63.87
216,428,110,232,17,342,2,41,42,276,7,0,0,1,0,0,1,0,1,0,12,725,54.21,38.07,-16.14,25.7,47.17,21.47,69.39
217,567,203,261,39,111,2,36,22,203,4,1,1,0,1,0,0,0,0,0,6,387,46.03,52.45,6.42,35.8,28.68,-7.12,-31.75
218,609,250,242,53,258,5,61,33,425,4,1,1,1,0,0,0,1,0,1,26,817,39.74,52.02,12.28,41.05,31.58,-9.47,34.15
219,561,120,217,192,393,1,60,42,182,4,1,1,0,1,1,0,0,0,0,13,699,38.68,26.04,-12.64,21.39,56.22,34.83,24.6
220,739,379,255,7,478,2,50,56,279,13,1,1,1,1,0,2,0,0,2,19,905,34.51,30.83,-3.68,51.29,52.82,1.53,22.46
221,798,405,325,2,237,2,36,39,132,13,0,0,0,2,0,1,0,1,2,6,471,40.73,28.03,-12.7,50.75,50.32,-0.43,-40.98
222,382,165,138,2,296,1,13,54,391,7,2,3,1,2,2,3,0,0,2,14,791,36.13,49.43,13.3,43.19,37.42,-5.77,107.07
223,535,187,300,18,203,0,61,41,183,6,0,1,0,0,0,0,0,0,0,14,509,56.07,35.95,-20.12,34.95,39.88,4.93,-4.86
224,598,219,251,64,110,0,32,26,250,13,0,0,0,0,2,0,0,0,0,2,435,41.97,57.47,15.5,36.62,25.29,-11.33,-27.26
225,448,205,157,49,230,2,57,46,232,18,1,2,5,0,0,0,1,2,0,9,605,35.04,38.35,3.31,45.76,38.02,-7.74,35.04
226,648,326,233,46,259,0,53,26,227,10,1,7,1,2,0,2,1,1,0,15,605,35.96,37.52,1.56,50.31,42.81,-7.5,-6.64
227,715,291,287,102,125,3,7,15,425,2,1,0,0,0,1,5,0,0,0,8,592,40.14,71.79,31.65,40.7,21.11,-19.59,-17.2
228,809,316,387,31,406,6,11,248,68,6,2,27,0,1,0,0,4,0,0,8,787,47.84,8.64,-39.2,39.06,51.59,12.53,-2.72
229,826,291,429,50,596,2,4,78,130,4,1,17,0,0,0,0,1,1,2,5,841,51.94,15.46,-36.48,35.23,70.87,35.64,1.82
230,501,279,147,24,313,2,6,21,102,2,0,2,0,1,0,0,0,1,0,4,454,29.34,22.47,-6.87,55.69,68.94,13.25,-9.38
231,672,380,220,2,239,4,13,40,248,4,1,2,0,1,0,2,0,0,1,7,562,32.74,44.13,11.39,56.55,42.53,-14.02,-16.37
232,334,204,59,16,311,2,13,57,309,12,0,2,0,1,0,0,0,0,0,1,708,17.66,43.64,25.98,61.08,43.93,-17.15,111.98
233,615,170,173,242,261,0,39,38,168,5,0,1,1,2,0,0,0,0,0,5,520,28.13,32.31,4.18,27.64,50.19,22.55,-15.45
234,562,242,166,78,458,3,17,54,202,7,1,1,0,0,1,1,0,1,0,3,749,29.54,26.97,-2.57,43.06,61.15,18.09,33.27
235,621,309,228,45,323,2,30,41,406,9,1,1,1,0,0,1,1,0,0,10,826,36.71,49.15,12.44,49.76,39.1,-10.66,33.01
236,929,358,330,207,434,3,49,73,363,10,0,1,1,0,2,0,4,0,2,8,950,35.52,38.21,2.69,38.54,45.68,7.14,2.26
237,982,441,341,159,383,5,22,80,448,7,6,15,0,2,1,1,0,2,0,9,981,34.73,45.67,10.94,44.91,39.04,-5.87,-0.1
238,662,183,160,255,314,1,9,23,164,1,0,17,0,0,0,0,0,0,0,4,533,24.17,30.77,6.6,27.64,58.91,31.27,-19.49
239,598,166,183,202,452,3,14,35,155,5,0,13,0,0,0,0,1,1,2,9,690,30.6,22.46,-8.14,27.76,65.51,37.75,15.38
240,925,176,334,344,257,2,13,40,68,3,0,12,0,0,1,0,0,1,0,2,399,36.11,17.04,-19.07,19.03,64.41,45.38,-56.86
241,947,372,258,260,208,0,19,30,335,5,0,2,0,0,0,3,0,0,1,6,609,27.24,55.01,27.77,39.28,34.15,-5.13,-35.69
242,674,302,245,94,309,1,45,58,224,7,0,2,0,1,0,0,0,0,1,3,651,36.35,34.41,-1.94,44.81,47.47,2.66,-3.41
243,950,208,232,469,379,8,11,61,159,11,0,20,0,0,1,0,0,0,1,3,654,24.42,24.31,-0.11,21.89,57.95,36.06,-31.16
244,847,126,205,482,467,2,5,35,462,5,1,28,0,0,1,1,0,0,0,3,1010,24.2,45.74,21.54,14.88,46.24,31.36,19.24
245,1029,471,399,107,574,9,3,77,338,13,1,28,0,0,3,4,0,1,0,6,1057,38.78,31.98,-6.8,45.77,54.3,8.53,2.72
246,1052,403,514,5,260,2,4,59,360,12,1,0,1,0,3,8,0,2,1,2,715,48.86,50.35,1.49,38.31,36.36,-1.95,-32.03
247,644,185,190,240,216,9,2,37,340,5,3,1,0,0,0,3,2,0,1,4,623,29.5,54.57,25.07,28.73,34.67,5.94,-3.26
248,892,283,318,252,294,0,5,50,554,19,1,4,0,0,1,1,0,0,0,3,932,35.65,59.44,23.79,31.73,31.55,-0.18,4.48
249,690,178,219,254,411,3,4,56,486,17,0,7,0,1,2,2,0,1,1,5,996,31.74,48.8,17.06,25.8,41.27,15.47,44.35
250,423,108,151,148,306,2,3,24,326,5,1,6,0,0,1,4,0,0,1,1,680,35.7,47.94,12.24,25.53,45.0,19.47,60.76
251,825,275,454,12,194,1,4,25,738,12,0,0,1,0,1,7,0,0,1,5,989,55.03,74.62,19.59,33.33,19.62,-13.71,19.88
252,859,476,317,6,153,0,3,17,697,10,0,0,0,0,0,2,0,0,0,5,887,36.9,78.58,41.68,55.41,17.25,-38.16,3.26
253,896,180,169,518,570,9,6,117,304,9,2,4,1,0,1,4,2,1,7,27,1064,18.86,28.57,9.71,20.09,53.57,33.48,18.75
254,627,197,173,206,817,2,12,73,177,5,0,4,0,0,0,1,0,0,1,13,1105,27.59,16.02,-11.57,31.42,73.94,42.52,76.24
255,806,431,305,5,157,1,2,24,450,1,0,0,0,0,0,1,0,0,0,3,639,37.84,70.42,32.58,53.47,24.57,-28.9,-20.72
256,401,177,76,132,330,1,8,84,487,1,0,0,0,0,0,0,0,1,0,5,917,18.95,53.11,34.16,44.14,35.99,-8.15,128.68
257,441,157,166,85,206,2,7,16,445,6,0,1,0,0,0,4,0,0,0,10,697,37.64,63.85,26.21,35.6,29.56,-6.04,58.05
258,898,300,249,294,118,1,3,12,289,4,0,0,0,0,1,5,0,3,0,4,440,27.73,65.68,37.95,33.41,26.82,-6.59,-51.0
259,368,190,132,3,454,21,3,104,226,7,3,27,0,0,1,4,5,0,1,10,866,35.87,26.1,-9.77,51.63,52.42,0.79,135.33
260,391,129,161,80,500,13,2,58,211,28,1,21,1,0,0,1,2,1,1,13,853,41.18,24.74,-16.44,32.99,58.62,25.63,118.16
261,326,127,152,3,222,2,3,32,621,10,1,1,0,1,1,2,0,0,0,6,902,46.63,68.85,22.22,38.96,24.61,-14.35,176.69
262,874,400,330,88,287,15,1,39,302,6,2,2,0,1,0,0,1,0,4,7,667,37.76,45.28,7.52,45.77,43.03,-2.74,-23.68
263,720,129,220,345,511,23,15,63,140,5,0,10,0,1,0,0,0,0,1,1,770,30.56,18.18,-12.38,17.92,66.36,48.44,6.94
264,780,176,204,352,182,0,1,24,170,0,0,0,0,0,0,0,0,0,2,3,382,26.15,44.5,18.35,22.56,47.64,25.08,-51.03
265,490,71,197,203,196,4,4,20,208,2,1,0,0,0,0,1,0,1,0,9,446,40.2,46.64,6.44,14.49,43.95,29.46,-8.98
266,679,79,181,392,386,3,4,26,510,1,0,0,0,0,2,3,0,2,0,5,942,26.66,54.14,27.48,11.63,40.98,29.35,38.73
267,765,231,265,222,209,2,1,35,113,7,0,2,0,0,0,2,0,0,0,1,372,34.64,30.38,-4.26,30.2,56.18,25.98,-51.37
268,1019,358,447,110,185,6,6,12,175,6,1,2,1,0,0,2,0,0,1,6,403,43.87,43.42,-0.45,35.13,45.91,10.78,-60.45
269,911,218,270,348,205,1,1,26,93,5,0,1,0,0,0,0,0,0,0,2,334,29.64,27.84,-1.8,23.93,61.38,37.45,-63.34
270,428,120,152,137,473,2,6,57,334,18,1,19,1,0,2,0,0,0,0,5,918,35.51,36.38,0.87,28.04,51.53,23.49,114.49
271,864,277,332,200,140,4,1,10,623,0,0,1,0,0,0,1,1,0,0,3,784,38.43,79.46,41.03,32.06,17.86,-14.2,-9.26
272,1042,325,408,236,242,1,2,17,558,3,0,1,0,0,0,2,0,1,2,5,834,39.16,66.91,27.75,31.19,29.02,-2.17,-19.96
273,651,213,188,198,146,2,3,19,355,2,0,0,0,0,0,1,0,0,0,2,530,28.88,66.98,38.1,32.72,27.55,-5.17,-18.59
274,515,158,201,111,134,2,9,17,551,4,0,0,0,0,0,3,0,1,0,4,725,39.03,76.0,36.97,30.68,18.48,-12.2,40.78
275,917,485,281,96,319,5,2,59,371,4,3,4,0,0,0,0,0,0,0,6,773,30.64,47.99,17.35,52.89,41.27,-11.62,-15.7
276,551,208,228,21,393,3,24,80,501,7,1,3,0,0,0,2,0,3,1,7,1025,41.38,48.88,7.5,37.75,38.34,0.59,86.03
277,561,259,212,35,247,12,3,37,610,12,3,5,1,0,0,3,1,1,0,3,938,37.79,65.03,27.24,46.17,26.33,-19.84,67.2
278,842,336,307,138,149,0,2,17,282,2,0,8,0,0,0,1,0,0,0,1,462,36.46,61.04,24.58,39.9,32.25,-7.65,-45.13
279,865,387,380,9,410,3,1,73,379,22,0,14,1,2,0,1,1,1,3,3,914,43.93,41.47,-2.46,44.74,44.86,0.12,5.66
280,769,374,333,11,426,3,13,47,544,11,0,6,0,1,1,6,3,0,1,9,1071,43.3,50.79,7.49,48.63,39.78,-8.85,39.27
281,625,222,155,214,312,1,5,52,275,6,1,0,0,2,1,1,0,0,1,7,664,24.8,41.42,16.62,35.52,46.99,11.47,6.24
282,729,229,266,179,314,12,6,22,196,7,1,0,0,1,1,2,0,1,0,5,568,36.49,34.51,-1.98,31.41,55.28,23.87,-22.09
283,947,452,388,22,515,2,9,85,285,7,1,17,0,0,0,3,0,0,1,10,935,40.97,30.48,-10.49,47.73,55.08,7.35,-1.27
284,633,290,195,51,277,1,11,89,147,6,0,23,1,0,0,0,2,0,0,7,564,30.81,26.06,-4.75,45.81,49.11,3.3,-10.9
285,787,382,284,29,306,3,34,60,171,5,0,13,0,0,0,1,0,0,1,7,601,36.09,28.45,-7.64,48.54,50.92,2.38,-23.63
286,615,323,232,6,404,10,7,106,327,9,3,8,1,1,0,5,3,0,1,9,894,37.72,36.58,-1.14,52.52,45.19,-7.33,45.37
287,444,190,158,68,509,112,16,63,197,10,0,9,1,0,1,0,0,1,1,5,925,35.59,21.3,-14.29,42.79,55.03,12.24,108.33
288,644,357,214,18,400,100,7,61,198,1,0,7,0,0,0,0,0,1,1,10,786,33.23,25.19,-8.04,55.43,50.89,-4.54,22.05
289,820,424,221,67,215,2,6,22,361,7,1,0,0,0,0,2,0,0,0,6,622,26.95,58.04,31.09,51.71,34.57,-17.14,-24.15
290,682,312,208,67,295,7,12,25,433,7,3,0,0,1,2,2,0,0,3,7,797,30.5,54.33,23.83,45.75,37.01,-8.74,16.86
291,812,386,270,43,79,1,12,16,59,5,0,6,0,0,0,0,0,0,0,4,182,33.25,32.42,-0.83,47.54,43.41,-4.13,-77.59
292,562,309,158,29,487,3,8,86,170,6,2,40,0,1,0,1,1,0,0,3,808,28.11,21.04,-7.07,54.98,60.27,5.29,43.77
293,378,178,141,15,384,0,69,52,248,4,0,8,1,0,0,0,0,0,0,15,781,37.3,31.75,-5.55,47.09,49.17,2.08,106.61
294,664,208,372,23,590,8,83,109,310,13,0,17,0,0,2,1,0,0,2,17,1152,56.02,26.91,-29.11,31.33,51.22,19.89,73.49
295,878,314,383,70,392,14,2,57,145,4,0,9,0,0,1,2,0,1,0,5,632,43.62,22.94,-20.68,35.76,62.03,26.27,-28.02
296,993,350,505,68,204,2,13,16,180,3,0,0,0,1,0,0,0,0,0,2,421,50.86,42.76,-8.1,35.25,48.46,13.21,-57.6
297,930,361,446,52,552,3,20,64,125,6,0,1,0,0,0,0,0,0,0,4,775,47.96,16.13,-31.83,38.82,71.23,32.41,-16.67
298,1076,458,471,65,418,2,84,43,223,3,2,5,1,1,1,0,0,0,1,5,789,43.77,28.26,-15.51,42.57,52.98,10.41,-26.67
299,776,307,352,56,387,2,97,58,248,5,1,5,1,0,0,0,1,0,0,15,820,45.36,30.24,-15.12,39.56,47.2,7.64,5.67
300,594,260,230,49,339,0,82,51,218,3,0,6,0,0,0,0,0,0,0,7,706,38.72,30.88,-7.84,43.77,48.02,4.25,18.86
301,819,225,465,39,325,2,66,47,135,3,0,7,0,1,0,0,0,0,0,5,591,56.78,22.84,-33.94,27.47,54.99,27.52,-27.84
302,625,169,319,76,181,1,49,25,93,2,0,2,0,0,0,0,0,0,0,2,355,51.04,26.2,-24.84,27.04,50.99,23.95,-43.2
303,1105,387,440,159,279,2,45,48,262,17,1,3,0,1,2,0,1,1,1,9,672,39.82,38.99,-0.83,35.02,41.52,6.5,-39.19
304,447,163,151,99,354,6,57,74,354,10,4,10,1,1,0,3,1,0,1,17,893,33.78,39.64,5.86,36.47,39.64,3.17,99.78
305,658,341,167,63,420,2,72,84,436,6,1,3,0,0,0,1,3,1,0,9,1038,25.38,42.0,16.62,51.82,40.46,-11.36,57.75
306,702,280,270,66,448,4,60,99,294,10,1,3,0,0,1,0,1,1,0,9,931,38.46,31.58,-6.88,39.89,48.12,8.23,32.62
307,417,181,149,37,341,0,32,48,207,11,0,2,0,0,0,1,0,0,0,4,646,35.73,32.04,-3.69,43.41,52.79,9.38,54.92
308,651,341,248,11,265,0,35,38,193,5,2,1,0,0,1,0,1,0,1,6,548,38.1,35.22,-2.88,52.38,48.36,-4.02,-15.82
309,557,169,259,52,376,2,42,57,320,13,0,3,0,0,0,1,0,0,0,3,817,46.5,39.17,-7.33,30.34,46.02,15.68,46.68
310,567,125,146,259,313,1,41,48,231,5,1,4,0,0,0,0,2,0,0,5,651,25.75,35.48,9.73,22.05,48.08,26.03,14.81
311,631,193,303,50,291,3,84,76,308,10,2,2,1,2,0,0,2,0,0,14,795,48.02,38.74,-9.28,30.59,36.6,6.01,25.99
312,693,208,279,150,212,0,40,58,292,10,2,0,0,0,0,1,0,0,1,16,632,40.26,46.2,5.94,30.01,33.54,3.53,-8.8
313,646,168,234,212,257,3,46,49,246,14,0,2,0,1,0,0,0,1,0,8,627,36.22,39.23,3.01,26.01,40.99,14.98,-2.94
314,1089,448,343,238,250,0,35,51,229,2,0,1,0,0,0,1,1,1,0,4,575,31.5,39.83,8.33,41.14,43.48,2.34,-47.2
315,359,111,73,159,169,0,26,36,262,6,0,0,0,1,0,0,0,0,0,6,506,20.33,51.78,31.45,30.92,33.4,2.48,40.95
